site,date,iupac_name,pubchem_cid,value,loq,lod,censored
ALN 136x,2016-11-01,2-ethylhexyl 3-(4-methoxyphenyl)prop-2-enoate,21630,3.443526170798898e-11,1.1478420569329662e-10,3.443526170798898e-11,left
HOV 122z,2016-11-01,"2-ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate",22571,1.7704011065006916e-10,NA,NA,none
ALN 138x,2016-11-01,"2-ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate",22571,1.3831258644536653e-11,4.6104195481788846e-11,1.3831258644536653e-11,left
ALN 125x,2016-11-01,"2-ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate",22571,1.6597510373443984e-11,5.532503457814661e-11,1.6597510373443984e-11,left
ALN 136x,2016-11-01,"2-ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate",22571,1.3831258644536653e-11,4.6104195481788846e-11,1.3831258644536653e-11,left
HOV 122z,2016-11-01,"2,4-dichloro-1-(4-chlorophenyl)benzene",23448,1.1029126213592232e-12,3.676375404530745e-12,1.1029126213592232e-12,left
ALN 138x,2016-11-01,"2,4-dichloro-1-(4-chlorophenyl)benzene",23448,1.1029126213592232e-12,3.676375404530745e-12,1.1029126213592232e-12,left
ALN 125x,2016-11-01,"2,4-dichloro-1-(4-chlorophenyl)benzene",23448,1.1029126213592232e-12,3.676375404530745e-12,1.1029126213592232e-12,left
ALN 136x,2016-11-01,"2,4-dichloro-1-(4-chlorophenyl)benzene",23448,1.1029126213592232e-12,3.676375404530745e-12,1.1029126213592232e-12,left
HOV 122z,2016-11-01,iron,23925,1.437381975998202e-5,NA,NA,none
ALN 138x,2016-11-01,iron,23925,9.073395161242029e-6,NA,NA,none
ALN 125x,2016-11-01,iron,23925,2.2086334450877327e-5,NA,NA,none
ALN 136x,2016-11-01,iron,23925,1.3680309728113358e-5,NA,NA,none
HOV 122z,2016-11-01,mercury,23931,9.970586769031358e-12,3.323528923010452e-11,9.970586769031358e-12,left
ALN 138x,2016-11-01,mercury,23931,1.4387477835425694e-11,NA,NA,none
ALN 125x,2016-11-01,mercury,23931,9.970586769031358e-12,3.323528923010452e-11,9.970586769031358e-12,left
ALN 136x,2016-11-01,mercury,23931,9.970586769031358e-12,3.323528923010452e-11,9.970586769031358e-12,left
HOV 122z,2016-11-01,silver,23954,1.297882597248489e-10,4.3262753241616297e-10,1.297882597248489e-10,left
ALN 138x,2016-11-01,silver,23954,6.489412986242445e-10,2.163137662080815e-9,6.489412986242445e-10,left
ALN 125x,2016-11-01,silver,23954,6.489412986242445e-10,2.163137662080815e-9,6.489412986242445e-10,left
ALN 136x,2016-11-01,silver,23954,1.297882597248489e-10,4.3262753241616297e-10,1.297882597248489e-10,left
HOV 122z,2016-11-01,cadmium,23973,1.5090059534924954e-9,NA,NA,none
ALN 138x,2016-11-01,cadmium,23973,4.969705879263117e-10,NA,NA,none
ALN 125x,2016-11-01,cadmium,23973,1.5022573459349883e-9,NA,NA,none
ALN 136x,2016-11-01,cadmium,23973,2.265715040161605e-9,NA,NA,none
HOV 122z,2016-11-01,chromium,23976,1.0542309145329139e-7,NA,NA,none
ALN 138x,2016-11-01,chromium,23976,4.181895580194053e-8,NA,NA,none
ALN 125x,2016-11-01,chromium,23976,2.35576058987249e-7,NA,NA,none
ALN 136x,2016-11-01,chromium,23976,2.61404245706494e-8,NA,NA,none
HOV 122z,2016-11-01,copper,23978,2.3380104805969666e-6,NA,NA,none
ALN 138x,2016-11-01,copper,23978,2.441970791039953e-7,NA,NA,none
ALN 125x,2016-11-01,copper,23978,3.902849295654808e-7,NA,NA,none
ALN 136x,2016-11-01,copper,23978,1.4476205773078554e-7,NA,NA,none
HOV 122z,2016-11-01,zinc,23994,3.6413590338026297e-6,NA,NA,none
ALN 138x,2016-11-01,zinc,23994,6.197338969621773e-7,NA,NA,none
ALN 125x,2016-11-01,zinc,23994,1.928537998011651e-6,NA,NA,none
ALN 136x,2016-11-01,zinc,23994,7.473459688561284e-7,NA,NA,none
HOV 122z,2016-11-01,tris(1-chloropropan-2-yl) phosphate,26176,3.49704676294396e-9,NA,NA,none
ALN 138x,2016-11-01,tris(1-chloropropan-2-yl) phosphate,26176,1.646440752336877e-9,NA,NA,none
ALN 125x,2016-11-01,tris(1-chloropropan-2-yl) phosphate,26176,1.8090140877387305e-9,NA,NA,none
ALN 136x,2016-11-01,tris(1-chloropropan-2-yl) phosphate,26176,2.3925076450405232e-8,NA,NA,none
HOV 122z,2016-11-01,"tris(1,3-dichloropropan-2-yl) phosphate",26177,4.5198645615984906e-10,NA,NA,none
ALN 138x,2016-11-01,"tris(1,3-dichloropropan-2-yl) phosphate",26177,7.154872081135223e-11,NA,NA,none
ALN 125x,2016-11-01,"tris(1,3-dichloropropan-2-yl) phosphate",26177,9.832078050399593e-11,NA,NA,none
ALN 136x,2016-11-01,"tris(1,3-dichloropropan-2-yl) phosphate",26177,4.927274208191674e-10,NA,NA,none
HOV 122z,2016-11-01,"2,3,4-trichlorophenol",27582,5.065856129685917e-13,1.6886187098953058e-12,5.065856129685917e-13,left
